Bodenart	TRD_num	TRD_txt	TRD_Class	TRD_int	nFK	FK	LK
Ss	1,1	TRD1,1	Rt1	1			
Sl2	1,1	TRD1,1	Rt1	1			
Sl3	1,1	TRD1,1	Rt1	1			
Sl4	1,1	TRD1,1	Rt1	1			
Slu	1,1	TRD1,1	Rt1	1			
St2	1,1	TRD1,1	Rt1	1			
St3	1,1	TRD1,1	Rt1	1			
Su2	1,1	TRD1,1	Rt1	1			
Su3	1,1	TRD1,1	Rt1	1			
Su4	1,1	TRD1,1	Rt1	1			
Ls2	1,1	TRD1,1	Rt1	1	16	32	27
Ls3	1,1	TRD1,1	Rt1	1	16	31	28
Ls4	1,1	TRD1,1	Rt1	1	14	27	32
Lt2	1,1	TRD1,1	Rt1	1	17	37	22
Lt3	1,1	TRD1,1	Rt1	1	17	42	17
Lts	1,1	TRD1,1	Rt1	1	15	35	24
Lu	1,1	TRD1,1	Rt1	1	17	35	24
Uu	1,1	TRD1,1	Rt1	1	23	32	27
Uls	1,1	TRD1,1	Rt1	1	18	30	29
Us	1,1	TRD1,1	Rt1	1	21	29	30
Ut2	1,1	TRD1,1	Rt1	1	19	30	29
Ut3	1,1	TRD1,1	Rt1	1	19	32	27
Ut4	1,1	TRD1,1	Rt1	1	18	34	25
Tt	1,1	TRD1,1	Rt1	1	13	49	10
Tl	1,1	TRD1,1	Rt1	1	14	44	15
Tu2	1,1	TRD1,1	Rt1	1	15	46	13
Tu3	1,1	TRD1,1	Rt1	1	16	42	17
Tu4	1,1	TRD1,1	Rt1	1	19	39	20
Ts2	1,1	TRD1,1	Rt1	1			
Ts3	1,1	TRD1,1	Rt1	1			
Ts4	1,1	TRD1,1	Rt1	1			
fS	1,1	TRD1,1	Rt1	1			
fSms	1,1	TRD1,1	Rt1	1			
fSgs	1,1	TRD1,1	Rt1	1			
mS	1,1	TRD1,1	Rt1	1			
mSfs	1,1	TRD1,1	Rt1	1			
mSgs	1,1	TRD1,1	Rt1	1			
gS	1,1	TRD1,1	Rt1	1			
Ss	1,3	TRD1,3	Rt2	2	4	6	45
Sl2	1,3	TRD1,3	Rt2	2	10	16	35
Sl3	1,3	TRD1,3	Rt2	2	12	21	30
Sl4	1,3	TRD1,3	Rt2	2	12	23	28
Slu	1,3	TRD1,3	Rt2	2	18	29	22
St2	1,3	TRD1,3	Rt2	2	7	13	38
St3	1,3	TRD1,3	Rt2	2	8	19	32
Su2	1,3	TRD1,3	Rt2	2	10	15	36
Su3	1,3	TRD1,3	Rt2	2	15	22	29
Su4	1,3	TRD1,3	Rt2	2	18	26	25
Ls2	1,3	TRD1,3	Rt2	2	15	31	20
Ls3	1,3	TRD1,3	Rt2	2	15	30	21
Ls4	1,3	TRD1,3	Rt2	2	13	26	25
Lt2	1,3	TRD1,3	Rt2	2	15	35	16
Lt3	1,3	TRD1,3	Rt2	2	14	39	12
Lts	1,3	TRD1,3	Rt2	2	12	32	19
Lu	1,3	TRD1,3	Rt2	2	16	34	17
Uu	1,3	TRD1,3	Rt2	2	22	31	20
Uls	1,3	TRD1,3	Rt2	2	17	29	22
Us	1,3	TRD1,3	Rt2	2	20	28	23
Ut2	1,3	TRD1,3	Rt2	2	18	29	22
Ut3	1,3	TRD1,3	Rt2	2	19	31	20
Ut4	1,3	TRD1,3	Rt2	2	17	33	18
Tt	1,3	TRD1,3	Rt2	2	12	45	7
Tl	1,3	TRD1,3	Rt2	2	12	41	10
Tu2	1,3	TRD1,3	Rt2	2	13	43	9
Tu3	1,3	TRD1,3	Rt2	2	15	40	11
Tu4	1,3	TRD1,3	Rt2	2	16	36	15
Ts2	1,3	TRD1,3	Rt2	2	10	34	17
Ts3	1,3	TRD1,3	Rt2	2	10	30	21
Ts4	1,3	TRD1,3	Rt2	2	10	25	26
fS	1,3	TRD1,3	Rt2	2	5	8	43
fSms	1,3	TRD1,3	Rt2	2	5	8	43
fSgs	1,3	TRD1,3	Rt2	2	5	8	43
mS	1,3	TRD1,3	Rt2	2	4	6	45
mSfs	1,3	TRD1,3	Rt2	2	4	6	45
mSgs	1,3	TRD1,3	Rt2	2	4	6	45
gS	1,3	TRD1,3	Rt2	2	3	5	46
Ss	1,5	TRD1,5	Rt3	3	5	7	37
Sl2	1,5	TRD1,5	Rt3	3	9	15	29
Sl3	1,5	TRD1,5	Rt3	3	10	19	25
Sl4	1,5	TRD1,5	Rt3	3	10	21	23
Slu	1,5	TRD1,5	Rt3	3	16	27	17
St2	1,5	TRD1,5	Rt3	3	7	13	31
St3	1,5	TRD1,5	Rt3	3	7	18	26
Su2	1,5	TRD1,5	Rt3	3	9	14	30
Su3	1,5	TRD1,5	Rt3	3	12	20	24
Su4	1,5	TRD1,5	Rt3	3	16	24	20
Ls2	1,5	TRD1,5	Rt3	3	13	29	15
Ls3	1,5	TRD1,5	Rt3	3	13	28	16
Ls4	1,5	TRD1,5	Rt3	3	11	24	20
Lt2	1,5	TRD1,5	Rt3	3	12	32	12
Lt3	1,5	TRD1,5	Rt3	3	10	35	9
Lts	1,5	TRD1,5	Rt3	3	9	29	15
Lu	1,5	TRD1,5	Rt3	3	14	32	12
Uu	1,5	TRD1,5	Rt3	3	21	30	14
Uls	1,5	TRD1,5	Rt3	3	16	28	16
Us	1,5	TRD1,5	Rt3	3	18	27	17
Ut2	1,5	TRD1,5	Rt3	3	19	30	14
Ut3	1,5	TRD1,5	Rt3	3	18	31	13
Ut4	1,5	TRD1,5	Rt3	3	16	32	12
Tt	1,5	TRD1,5	Rt3	3	9	41	3
Tl	1,5	TRD1,5	Rt3	3	9	38	6
Tu2	1,5	TRD1,5	Rt3	3	10	39	5
Tu3	1,5	TRD1,5	Rt3	3	11	36	8
Tu4	1,5	TRD1,5	Rt3	3	14	34	10
Ts2	1,5	TRD1,5	Rt3	3	8	32	12
Ts3	1,5	TRD1,5	Rt3	3	8	28	16
Ts4	1,5	TRD1,5	Rt3	3	7	22	22
fS	1,5	TRD1,5	Rt3	3	6	9	35
fSms	1,5	TRD1,5	Rt3	3	6	9	35
fSgs	1,5	TRD1,5	Rt3	3	6	9	35
mS	1,5	TRD1,5	Rt3	3	5	7	37
mSfs	1,5	TRD1,5	Rt3	3	5	7	37
mSgs	1,5	TRD1,5	Rt3	3	5	7	37
gS	1,5	TRD1,5	Rt3	3	4	6	38
Ss	1,7	TRD1,7	Rt4	4	6	8	29
Sl2	1,7	TRD1,7	Rt4	4	9	15	22
Sl3	1,7	TRD1,7	Rt4	4	9	19	18
Sl4	1,7	TRD1,7	Rt4	4	10	21	16
Slu	1,7	TRD1,7	Rt4	4	13	25	12
St2	1,7	TRD1,7	Rt4	4	7	13	24
St3	1,7	TRD1,7	Rt4	4	7	18	19
Su2	1,7	TRD1,7	Rt4	4	8	13	24
Su3	1,7	TRD1,7	Rt4	4	11	19	18
Su4	1,7	TRD1,7	Rt4	4	14	23	14
Ls2	1,7	TRD1,7	Rt4	4	12	28	9
Ls3	1,7	TRD1,7	Rt4	4	11	26	11
Ls4	1,7	TRD1,7	Rt4	4	9	22	15
Lt2	1,7	TRD1,7	Rt4	4	9	29	8
Lt3	1,7	TRD1,7	Rt4	4	8	32	5
Lts	1,7	TRD1,7	Rt4	4	7	27	10
Lu	1,7	TRD1,7	Rt4	4	12	30	7
Uu	1,7	TRD1,7	Rt4	4	20	30	7
Uls	1,7	TRD1,7	Rt4	4	15	28	9
Us	1,7	TRD1,7	Rt4	4	17	27	10
Ut2	1,7	TRD1,7	Rt4	4	19	30	7
Ut3	1,7	TRD1,7	Rt4	4	18	31	6
Ut4	1,7	TRD1,7	Rt4	4	16	32	5
Tt	1,7	TRD1,7	Rt4	4			0
Tl	1,7	TRD1,7	Rt4	4	7	33	4
Tu2	1,7	TRD1,7	Rt4	4	8	35	2
Tu3	1,7	TRD1,7	Rt4	4	9	34	3
Tu4	1,7	TRD1,7	Rt4	4	13	33	4
Ts2	1,7	TRD1,7	Rt4	4	6	28	9
Ts3	1,7	TRD1,7	Rt4	4	6	25	12
Ts4	1,7	TRD1,7	Rt4	4	6	21	16
fS	1,7	TRD1,7	Rt4	4	6	9	28
fSms	1,7	TRD1,7	Rt4	4	6	9	28
fSgs	1,7	TRD1,7	Rt4	4	6	9	28
mS	1,7	TRD1,7	Rt4	4	6	8	29
mSfs	1,7	TRD1,7	Rt4	4	6	8	29
mSgs	1,7	TRD1,7	Rt4	4	6	8	29
gS	1,7	TRD1,7	Rt4	4	5	7	30
Ss	1,9	TRD1,9	Rt5	5			
Sl2	1,9	TRD1,9	Rt5	5	8	14	16
Sl3	1,9	TRD1,9	Rt5	5	7	17	13
Sl4	1,9	TRD1,9	Rt5	5	8	19	10
Slu	1,9	TRD1,9	Rt5	5	11	23	7
St2	1,9	TRD1,9	Rt5	5	7	14	16
St3	1,9	TRD1,9	Rt5	5	7	17	13
Su2	1,9	TRD1,9	Rt5	5	7	12	18
Su3	1,9	TRD1,9	Rt5	5	10	18	12
Su4	1,9	TRD1,9	Rt5	5	13	22	8
Ls2	1,9	TRD1,9	Rt5	5	9	25	5
Ls3	1,9	TRD1,9	Rt5	5	9	24	6
Ls4	1,9	TRD1,9	Rt5	5	8	21	9
Lt2	1,9	TRD1,9	Rt5	5			
Lt3	1,9	TRD1,9	Rt5	5			
Lts	1,9	TRD1,9	Rt5	5			
Lu	1,9	TRD1,9	Rt5	5			
Uu	1,9	TRD1,9	Rt5	5			
Uls	1,9	TRD1,9	Rt5	5			
Us	1,9	TRD1,9	Rt5	5			
Ut2	1,9	TRD1,9	Rt5	5			
Ut3	1,9	TRD1,9	Rt5	5			
Ut4	1,9	TRD1,9	Rt5	5			
Tt	1,9	TRD1,9	Rt5	5			
Tl	1,9	TRD1,9	Rt5	5			
Tu2	1,9	TRD1,9	Rt5	5			
Tu3	1,9	TRD1,9	Rt5	5			
Tu4	1,9	TRD1,9	Rt5	5			
Ts2	1,9	TRD1,9	Rt5	5			
Ts3	1,9	TRD1,9	Rt5	5			
Ts4	1,9	TRD1,9	Rt5	5			
fS	1,9	TRD1,9	Rt5	5			
fSms	1,9	TRD1,9	Rt5	5			
fSgs	1,9	TRD1,9	Rt5	5			
mS	1,9	TRD1,9	Rt5	5			
